用户名,用户城市,评论内容,点赞数,评论时间,情感得分
鼠尾草蛾,浙江,太美丽了祥和地复苏了,4,2025-11-18 13:50:36,0.9816162928049452
-1778-,浙江,前天的草沒了  雞式迷幻又掉了一堆雞皮疙瘩,4,2025-11-18 00:20:38,0.018381926816424476
AncheDaPorro,北京,听听10的feat,3,2025-11-18 12:17:42,0.7678372260491352
寻找牡丹,浙江,昨晚听这首，感觉要天下大同了,3,2025-11-18 00:38:29,0.2637240278542873
紫色的野人,吉林,第一次听到这首歌到现在已经三年半了,2,2025-11-18 14:32:21,0.4749443972745453
自由如风岁月留声,上海,每次听来都是不同的感觉，很神奇,1,2025-11-18 01:50:51,0.9611852206381185
FakePlasticooo,山东,已加入Last Breath歌單😢,1,2025-11-18 01:46:50,0.8176285262586771
loops_l,北京,来支持了,1,2025-11-18 00:43:16,0.626712328767123
