用户名,用户城市,评论内容,点赞数,评论时间,情感得分
_历历万乡-,山东,李治良你好强啊，怎么什么都会，多才多艺[超好听]我们四士同堂缺一不可，不要理会恶评，你对团队甚至于说这个节目都超重要[抱抱你],85,2025-11-17 00:30:16,0.7822354083502254
宇宙大王咔咔,北京,We double li check👁️,78,2025-11-17 00:45:32,0.42187459753097767
-旋转慕斯-,山东,“你不都成了吗？还回来干什么。”四士同堂毕业快乐，再也不复读了。,43,2025-11-17 08:02:34,0.8134511593720306
iammomki,福建,李治良：别人朝我丢恶评，我把恶评揉揉写成歌词,33,2025-11-17 02:19:43,0.5425682367171576
wongyoung_forever,福建,这个歌曲很妙啊 把所有恶评汇聚起来 而我们李治良做的就是打破这一切 用实力告诉他们,33,2025-11-17 00:05:05,0.9817086887627022
宇宙大王咔咔,北京,撒花❀,26,2025-11-18 11:26:02,0.42601908849895853
-TONY-梁朝偉,河南,听的很爽，但是歌词看的好心疼我们🌰。,24,2025-11-17 00:14:21,0.9963895553901116
生椰拿铁荔枝猫,山东,🌰治良你真的超棒长的帅211中传毕业有颜值有学历有演技，喜一喜二每个作品角色都能给人留下深刻印象超稳的台词每次进度都能把握的刚刚好！！线下话剧也超稳真的很棒🌰🌰🌰期待《万古最强宗》的苏小沫《迷径之上》《剑来》期待我们线下话剧再次见面[亲吻],18,2025-11-17 00:18:46,0.9999999999999285
小东帽嘿,云南,治良唱出来就不准内耗了哦，大步向前走！,17,2025-11-17 12:33:49,0.9983557739495188
LDZCGX,山东,来了！四士同堂就是最棒的！十人全肯定！不要内耗！,16,2025-11-17 13:23:34,0.950898246746305
TxxTooH,山东,总是会有人莫名其妙的诋毁自己不喜欢的事，尊重是永远都学不会的。荔枝凉第一次出场就演的超级好，所有的本子都发挥的很好！真的希望有机会多去线下看[超好听],12,2025-11-17 14:44:44,0.9407319299388525
此去经年执念庚澈,北京,第一次听李治良唱歌，也是第一次看到原来有这么多恶评，明明都是为我们带来好作品，为什么总有有那么多恶意。歌曲很好听，词也很好，唱出来就不要再内耗啦！未来继续加油接更多剧更多演出！,11,2025-11-17 13:43:05,0.999915147813491
Chloecccccccccc,广东,李治良你的表演特别好！！！！你不是边角料！！！！你是特别好的演员！！！！是三士爱惜的弟弟和好朋友！！！！你在团队困难的时候可以写本！平时能够做好自己的本分工作！演技很准！！！！不要听恶评！！你很好！！！！,10,2025-11-17 20:10:54,0.4880771620701295
AAA_家产忠实护卫岚姐,上海,我就这样老师好十上无难事十人部落全肯定到底！,2,2025-11-20 01:35:02,0.8920110262197285
带梓的伊果,河北,治良你棒棒棒棒棒棒,1,2025-11-20 19:39:14,0.9999998223474234
清灯吟,四川,李治良天天开心，我会一直拥护你的一切,1,2025-11-20 19:34:59,0.9766645781924349
辛耶耶蛋,浙江,封面好帅,1,2025-11-20 16:44:54,0.7150937450669332
-老唱片裂出蝴蝶翅膀-,新疆,把外界质疑写成“他们子弹追不上我速度”，用自嘲消解恶意，咱们荔枝凉的说唱实力就是这么顶！荔枝凉，你已经做得真的很棒很棒了！你的演技 你的努力 你的付出，我们都有目共睹！你只会越来越强大，用自己的实力揉碎那些恶意攻击，迎接属于你的光辉时刻[亲吻][亲吻][亲吻],1,2025-11-20 01:42:55,0.9999999998684894
谁说困了,辽宁,帅 荔枝凉,1,2025-11-18 23:42:44,0.8798221723758344
走路要牵着手,浙江,李治良全肯定，李治良你怎么这么棒，你就是最棒的，怎么唱歌也这么好听，棒棒棒棒棒棒棒棒,1,2025-11-18 23:00:07,0.9999999999999891
卡布叻_周鲫鱼,河北,好听死了[亲亲][亲亲],0,2025-11-20 22:44:35,0.1312382380856092
海上森林1隻貓,广东,很完美的合作 好耶！！,0,2025-11-20 20:44:59,0.4333030903616063
画室清澈Cumbia说唱,四川,小治小治！超好听！就这样给坏人狠狠一脚！ 小治牛！四世同堂牛！十人部落牛！,0,2025-11-20 08:16:22,0.8726230611668466
啾咪啾咪_CC,广东,我们李治良才不是边角料！！,0,2025-11-19 21:52:27,0.10054784471114175
啾咪啾咪_CC,广东,ber，荔枝凉为啥不要啊,0,2025-11-19 21:51:55,0.013605706376875637
白珍珠girly,内蒙古,超棒的李治良！,0,2025-11-19 20:26:30,0.9554931976430165
诺民世最笃,韩国,辛苦了李治良 你真的很棒,0,2025-11-19 19:04:28,0.9888371295118226
是小力士,广东,李治良～ 你怎么在这,0,2025-11-19 18:59:52,0.7472069274472319
今天很oook_MeTn,山东,帅爆了[心动][心动],0,2025-11-19 17:01:22,0.9764888985971744
椰子冻死,山西,兄弟帅死,0,2025-11-19 08:34:05,0.7400193607084445
Cherry__016,河北,好强,0,2025-11-18 23:30:48,0.5
帅是种常态,吉林,来支持了,0,2025-11-18 22:42:09,0.626712328767123
fmh墨,江苏,捉,0,2025-11-18 22:40:29,0.5714285714285716
一个包子aa,山东,昨天唱的啊 治良最棒 到底谁骂了！！我找你们算账！,0,2025-11-18 22:10:31,0.9890143506959732
xxzj16,山东,小治全肯定,0,2025-11-18 22:09:20,0.46282421189132805
LFT-Truth,吉林,两个宝宝都击碎恶评！,0,2025-11-18 22:00:57,0.42410130305441507
我不是承雨,四川,荔枝凉就这样唱得爽爽的,0,2025-11-18 21:58:32,0.7488501385202688
我的名字真的有十个字_,安徽,特别棒啊治良！,0,2025-11-18 21:48:11,0.9898097264605704
