用户名,用户城市,评论内容,点赞数,评论时间,情感得分
一起听了24分钟,山东,天下谁人不识君,1,2025-11-18 12:30:08,0.9349949682508606
LeslieChem,福建,兄弟雄起,1,2025-11-18 11:13:06,0.3293418291102337
我将起诉迪迦,河南,来了,1,2025-11-18 04:46:02,0.5262327818078083
jiye颉,云南,现在躺这里以后可以免门票吗[爱心],0,2025-11-20 01:06:39,0.7902491595831557
Firstencouter_,广东,^ω^,0,2025-11-20 00:53:51,0.5
X同学ouo,陕西,走起！,0,2025-11-19 22:56:53,0.5826296743063932
Koi2629,河南,评的时候听第一句就秒点红心,0,2025-11-19 21:27:27,0.37323956506738676
余光聚焦,湖北,我是怎么评到这么好听的歌的,0,2025-11-19 21:23:49,0.7604568531432339
厌念吻,广东,平常喜欢听hip hop的，可以听,0,2025-11-19 19:21:59,0.7789248447945523
欲揽星辰入怀,陕西,旋律不错，挺好听的。,0,2025-11-19 19:19:55,0.9502826398147401
elgh77,湖北,lets go,0,2025-11-19 13:29:37,0.5
T7even_,贵州,08黑马！,0,2025-11-19 11:50:44,0.34622920705282745
LuQ1i,浙江,up,0,2025-11-19 10:11:27,0.5262327818078083
要听rap,山东,flow塞得很满，听感十分不错。歌词直接凿进beat里，DaZy走起来。[加油呀][加油呀],0,2025-11-19 09:20:53,0.9997737687972016
想要飞向月球,江西,开演唱会记得给我优惠[心动][心动][心动],0,2025-11-19 00:10:07,0.9680938635129449
9-cici-9,辽宁,希望一切如愿 能和良人相伴 身体健康天天开心 祝我祝你,0,2025-11-18 23:40:18,0.999993345854709
泪誓永别,中国香港,挺爽的,0,2025-11-18 22:17:09,0.9230769230769229
觸碰的瞬間_,广西,你在哪的部分空耳asen,0,2025-11-18 22:03:00,0.4737672181921908
觸碰的瞬間_,广西,🔥,0,2025-11-18 22:00:46,0.5
烤地瓜大王就是我,吉林,来了来了,0,2025-11-18 18:06:32,0.8333333333333333
祭一颗花心,宁夏,鼓不够重啊,0,2025-11-18 14:52:55,0.25481390030415463
一颗梨6,江西,走起[加油呀],0,2025-11-18 12:51:22,0.9227165394781578
CU-2cV3,黑龙江,加油,0,2025-11-18 10:48:07,0.9047619047619047
剩旧情,吉林,火钳留名,0,2025-11-18 10:18:21,0.29803297481478275
昵称一点儿都不酷,上海,好听,0,2025-11-18 05:15:51,0.33333333333333337
