用户名,用户城市,评论内容,点赞数,评论时间,情感得分
穆祉丞,福建,下次接这首歌你们再唱不出来我真的会生气[怒],12974,2025-11-12 15:48:52,0.6898878724090503
穆祉丞,福建,拜拜！！！！！！！！,11753,2025-11-12 15:56:08,0.6863686541646064
穆祉丞,福建,最近的心情是，居然居然居然马上就要18了，好没有实感[呆],11055,2025-11-12 15:47:52,0.036046504563696735
穆祉丞,福建,没想到回北京一天，又来福建了哈哈哈哈哈哈哈哈哈哈,10371,2025-11-12 15:34:44,0.994185952786398
穆祉丞,福建,接下来几天都会有点忙，我会加油的！✌🏻,10354,2025-11-12 15:52:45,0.7117154001728638
穆祉丞,福建,还没问大家呢，觉得这首歌怎么样，好听吗哈哈哈,10257,2025-11-12 15:42:40,0.7338936011946071
穆祉丞,福建,感觉比前两天凉点了呢,9841,2025-11-12 15:46:05,0.20966046975907726
穆祉丞,福建,有一丢丢紧张😿,9603,2025-11-12 15:36:58,0.5088359717616064
穆祉丞,福建,好了，今天就差不多到这里吧！大家要多多听我的新歌哦～我准备去忙了！,9502,2025-11-12 15:55:42,0.8559475873486629
穆祉丞,福建,来了！😼,8823,2025-11-12 15:32:27,0.5
香菜熊sk,河南,穆祉丞祝你星途璀璨🩵🩷,7411,2025-11-08 00:00:27,0.9858317779649067
愿愿愿雪,江苏,恩仔星途璀璨🩵🩷,3948,2025-11-08 00:01:07,0.9118736696256431
weniverse-,广东,师兄 我们都要星途璀璨🩵🩷师兄 我们都要星途璀璨🩵🩷,3888,2025-11-08 00:00:41,0.10228047844494459
提子提子_Tizi,广东,🩵🩷祉在你心里橹过🩵🩷便留下片片涟漪🩵🩷‼️@TF_ING穆祉丞MUA 新歌《偷偷做个梦》上线‼️枳妹和表弟迫不及待来听啦🥰🥰🥰,3750,2025-11-08 00:00:22,0.980606058316695
rooosyz,浙江,🩵🩷世界分崩离析 橹穆形影不离^ ̳> ·̫ < ̳^🩵🩷,3589,2025-11-08 00:00:46,0.7910861013581275
懒TwT惰,福建,幸福的目录是橹穆🩵🩷[爆笑],3,2025-11-21 15:09:57,0.9874493935670373
我爱火锅底料,湖南,师兄 我们都要星途璀璨🩵🩷师兄 我们都要星途璀璨🩵🩷,2,2025-11-21 15:43:53,0.10228047844494459
