用户名,用户城市,评论内容,点赞数,评论时间,情感得分
Dorr_zl1,新疆,风格不一样了捏！🉑这种我也喜欢😻,2,2025-11-14 23:41:37,0.6203768573988996
寄术高超的逯,山西,跟前几首歌截然不同的风格，听感相当爽了。话说要是巡演考虑来太原不？,2,2025-11-14 13:44:54,0.9892329343473774
陈塘关少熙什么事,浙江,好好听！！！！,0,2025-11-14 23:19:25,0.1870366737203687
NO492,辽宁,换吉他了嘛,0,2025-11-14 21:52:05,0.4087219842876467
Cheryl幼绿_,吉林,记得明年来长春,0,2025-11-14 16:48:46,0.9580079447814552
苦诤,河北,…什么时候巡演啊,0,2025-11-14 11:46:26,0.6802728006219129
是花生米的花,广东,我来的早了哈哈哈哈蹲到了,0,2025-11-14 10:50:05,0.8541048333553924
VUNCIE,山东,该巡演了[举手][举手],0,2025-11-14 08:55:53,0.9211086220910454
小陆啊陆,湖北,来一颗大金丹吧，解决生活的无聊，包治百病,0,2025-11-14 08:36:28,0.26410909429693474
情书投递局-,辽宁,冬天了！！归子什么时候可以见面啊！！！！,0,2025-11-14 06:39:53,0.12124255057543465
鸾尢,黑龙江,来啦！！,0,2025-11-14 00:44:57,0.3075601374570447
博博不可能不可以,广东,明码标价的快感！,0,2025-11-14 00:33:19,0.008609583755359362
微风拂过菜地2024考公限定版,四川,这谁家崽！？,0,2025-11-14 00:17:19,0.73374758656285
IM1105,山东,大金丹包治百病,0,2025-11-14 00:09:29,0.47950107515719254
橙树林_,福建,明码标价的快感！听爽了！,0,2025-11-14 00:08:23,0.007757864895489686
是饼饼啦_,辽宁,来咯～,0,2025-11-14 00:07:44,0.49157116410069623
v_yxxxx,江苏,在线蹲巡演[亲吻],0,2025-11-14 00:07:28,0.37157387521376617
小猫想钻被窝,辽宁,好听！想在现场听,0,2025-11-14 00:05:20,0.14746196065714245
一兜子馕,上海,豪庭豪庭！[大笑],0,2025-11-14 00:04:11,0.7223470526687327
Oreo麦麦,辽宁,好新的归归！,0,2025-11-14 00:03:22,0.7382346255172537
曼哈顿生机勃勃香草冰淇淋,广东,好听死了呜呜呜,0,2025-11-14 00:03:20,0.1715087548077272
Chaiiyz,福建,来啦！,0,2025-11-14 00:02:14,0.5262327818078083
你掉了一块小饼干,安徽,新歌新歌！！,0,2025-11-14 00:01:49,0.868961147782
-惜馀春-,江苏,来啦！,0,2025-11-14 00:01:12,0.5262327818078083
醋酸洋红___,福建,妈呀好不一样的风格 爽！,0,2025-11-14 00:01:12,0.9039747463970877
