用户名,用户城市,评论内容,点赞数,评论时间,情感得分
hum-blE_Z,江西,宣传是最少的，单曲是高产的，质量是最高的，feat是秒杀的，市场反馈是最好的，所以无须多言…此男已无敌…,5254,2025-11-03 00:27:04,0.8583818594672994
GALIxGALI,上海,BIRRRDs🐦‍⬛🐦‍⬛🐦‍⬛,3467,2025-11-03 01:18:33,0.5
脚踩麦当手拿肯德,浙江,你也三根一起点燃了？,1144,2025-11-03 17:26:35,0.7809932658978249
1SSLEEP,广东,哥你直接开体育馆吧livehouse我真抢不到票,720,2025-11-03 16:42:35,0.34102914984087596
01forkay,江西,哥哥答应我新专不要有三火的ft好不好   我一直在哭。。。,674,2025-11-03 09:16:49,0.9586728228940631
只有一个火焰型迪迦,四川,我永远爱你,563,2025-11-03 00:22:21,0.8545875312307308
Midori-Jr,宁夏,这个赞好高级，居然是小蛋糕耶[吐舌],536,2025-11-16 23:04:45,0.7944577327750549
成嶋亮不亮,辽宁,gali永远能让我感叹中文说唱还能这么高级……,395,2025-11-03 02:24:29,0.9773018162371822
_VOB,天津,🔥又给轨道点了🔥 烧我一身我需要灭火器,277,2025-11-03 00:36:37,0.6308323916049408
xAay_y,安徽,蒋文涵三根一起点燃的时候能不能三首一起发啊,229,2025-11-03 00:47:15,0.643671217386659
殇心浅忆,浙江,给我点赞可以吗？我想弄那个百赞徽章[爱心] 放只小猫在这里给你们摸！ 　　　　　／＞　　フ 　　　　　|  　_　 _ l 　 　　　／` ミ＿꒳ノ 　　 　 /　　　 　 | 　　　 /　 ヽ　　 ﾉ 　 　 │　　|　|　| 　／￣|　　 |　|　| 　| (￣ヽ＿_ヽ_)__) 　＼二つ,150,2025-11-17 23:28:51,0.9999999878122153
iiiiQq_415,北京,吊炸了,129,2025-11-03 22:42:37,0.3243972906200331
Cunnilingus1,江苏,Money power respect 我三根一起点燃。,128,2025-11-03 08:44:58,0.9286291049712022
M11chel,辽宁,别来饭圈那一套,122,2025-11-03 13:08:11,0.49848900382037453
HJYHJY____,北京,谁懂刷着刷着抖音刷到gali以为是原来的歌然后一看是新歌的惊喜感,111,2025-11-03 00:38:27,0.9623321023809507
我换金身了,福建,给我点赞可以吗？我想弄那个百赞徽章[爱心] 放只小猫在这里给你们摸！ 　　　　　／＞　　フ 　　　　　|  　_　 _ l 　 　　　／` ミ＿꒳ノ 　　 　 /　　　 　 | 　　　 /　 ヽ　　 ﾉ 　 　 │　　|　|　| 　／￣|　　 |　|　| 　| (￣ヽ＿_ヽ_)__) 　＼二つ,1,2025-11-22 22:36:46,0.9999999878122153
爱不止恨,河南,这条评论已经招了,1,2025-11-22 12:19:08,0.0715774613139668
Sssoneh,福建,😁,1,2025-11-22 11:04:07,0.5
氵木_5,天津,[做鬼脸],0,2025-11-22 22:13:48,0.5906362689231162
zjtgzorn,内蒙古,这首哪里都感觉怎么莫名其妙的 不如克罗心,0,2025-11-22 21:48:29,0.32346667849728783
反向7_7,天津,此人的腔调恐怕在我之上,0,2025-11-22 21:04:17,0.2967453150156043
反向7_7,天津,？我求你了,0,2025-11-22 21:03:48,0.2500000000000001
蒋文涵的兵,重庆,太好听了,0,2025-11-22 19:58:50,0.1908884232601349
Memories-_-_-_,福建,此人已无敌,0,2025-11-22 19:36:18,0.8901654222376985
晴天不下雨6_,上海,说点大家不知道的,0,2025-11-22 19:28:40,0.2086627918123508
晴天不下雨6_,上海,笑死我了来成都嘛,0,2025-11-22 19:28:19,0.6675281781375716
A丨St,云南,👍,0,2025-11-22 19:02:04,0.5
yyqqq11,广东,blackbirrrrrrrrrrrrrd,0,2025-11-22 18:17:29,0.5
爱止痛pj,浙江,出门左转，别墅里面唱K,0,2025-11-22 17:28:32,0.950122812300815
彼方的自由,浙江,😁,0,2025-11-22 15:47:42,0.5
靓仔David,美国,[星星],0,2025-11-22 15:12:41,0.5333333333333333
yzynopeace,湖南,李佳隆和 gali 都不差，都在各个领域很顶,0,2025-11-22 14:39:07,0.7791418987597527
京城百花杀,北京,我来网易留评,0,2025-11-22 14:38:11,0.2055838099297469
spm-李爅,四川,这种听 shark 最狠了[心动],0,2025-11-22 13:21:18,0.6196281790047453
zh_co,广西,三根一起点燃！！！,0,2025-11-22 12:47:55,0.4550081944901613
Nofaliue,四川,越大越对味,0,2025-11-22 12:29:23,0.7443038622963344
再无一株入心,四川,帅得要死了哥,0,2025-11-22 12:14:52,0.839188838282552
春虫虫鹅F,英国,依旧开挂。,0,2025-11-22 11:07:37,0.30371238341453033
失眠艺术家30,辽宁,好听的,0,2025-11-22 10:38:20,0.33333333333333337
秦先生z-,江苏,会发光的24K,0,2025-11-22 10:36:09,0.5729950578652792
