s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
12390,当幸福开始 悲伤就在倒计时,2025-06-30,55027,280,9,9,129,流行 伤感 网络歌曲
12391,风决定要走 云怎么挽留,2017-09-14,1809465,3854,47,16,143,伤感 治愈 nan
12392,心碎俱乐部：节奏麻醉回忆,2025-08-01,69337,932,2,4,29,夜晚 伤感 电子
12393,再唱一回小情歌，献给我们的初遇,2025-07-11,800136,5930,6,7,113,伤感 流行 华语
12394,痛 太痛了 ｜苦情说唱 隼 连麻 SASI 特雷西,2024-10-08,551005,6085,215,20,116,说唱 伤感 孤独
12395,《薛之谦「音乐馆」·轻舟已过万重山》,2023-07-11,258697,1091,20,24,124,华语 伤感 孤独
12396,伤心酒馆 | 再续一杯思念的滋味,2022-11-04,144535,374,11,3,112,华语 流行 伤感
12397,短暂的相遇 是在惩罚念旧的人,2025-08-11,151123,681,13,2,218,流行 华语 伤感
12398,不能在你左右 却被你左右,2025-01-07,124835,1972,75,28,120,伤感 流行 nan
12399,我倒下是我没用，毕竟是我选的路,2024-12-07,668109,9376,162,35,120,伤感 nan nan
12400,爱这把双刃剑 赐我天真 刺我真心,2025-07-31,314502,3087,13,11,33,流行 清晨 伤感
12401,伤感emo终极歌单｜不要留我一个人 困在这场雨里,2025-06-20,305610,967,10,7,91,流行 伤感 网络歌曲
12402,sky光遇|一个人挂机时听的神曲,2021-05-21,203581,4091,25,80,197,伤感 00后 nan
12403,若忧郁是天赋，我便是满级玩家,2025-09-02,51081,406,3,1,68,伤感 思念 流行
12404,0.8x再听一遍青花瓷 敬我们的初相识,2024-08-14,1028746,3082,14,347,175,流行 伤感 网络歌曲
12405,痛苦如细水流长（be氛围感舒缓慢节奏）,2025-09-04,49869,365,6,1,164,流行 夜晚 伤感
12406,逆爱进行曲「回忆·戒断反应」,2025-07-19,113944,1547,27,19,102,流行 治愈 伤感
12407,消失的下雨天 我好想再淋一遍,2025-08-13,26437,205,6,1,200,流行 夜晚 伤感
12408,听一百遍都不腻，就像喜欢你一样。,2025-03-21,301508,1303,33,12,29,孤独 伤感 夜晚
12409,【氛围感】成为神的代价是孤独,2025-08-01,63944,1692,8,7,77,轻音乐 伤感 孤独
12410,思念 是一种无声蔓延的伤,2025-09-02,71271,779,2,3,89,伤感 怀旧 流行
12411,释怀纯音 | 爱生活 爱自已 爱具体的每一物,2023-07-04,445488,4306,49,24,117,轻音乐 伤感 流行
12412,你爱的歌 我一直听.,2025-06-19,684202,1926,36,24,85,流行 伤感 华语
12413,泪崩情歌，患得患失的爱如何挽救,2025-03-28,52943,193,2,1,261,华语 流行 伤感
12414,众人皆知水星记 而我独爱凄美地,2021-10-07,1421321,9561,1189,62,130,华语 夜晚 伤感
