s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
0,百代经典老歌 | 百年光辉历史 经典旋律永存,2023-06-15,297750,2518,8,3,50,nan nan nan
1,青春纪念册 | 重温那些经典的校园歌谣,2021-07-07,352429,2116,9,1,90,nan nan nan
2,2010s华语摇滚 | 新时代的中国摇滚浪潮,2023-04-11,1693809,8427,87,59,94,nan nan nan
3,听华晨宇热门精选,2023-11-17,1203178,6794,92,244,30,nan nan nan
4,2013伤感热播 | 和张杰一起回顾2013苦涩情歌,2025-09-16,69071,203,6,8,60,nan nan nan
5,重返2020 | 从颜人中《夏夜最后的烟火》开始回忆2020,2025-04-01,221408,1223,6,1,102,nan nan nan
6,1990s华语民谣 | 重拾记忆里的流金岁月,2023-10-08,847352,2260,15,13,36,nan nan nan
7,2010伤感热播 | 和黄丽玲A-Lin一起整理2010愁绪乐章,2025-09-12,549861,1079,9,1,60,nan nan nan
8,全网流行热歌 | 派伟俊 左转灯 和百首网络热门单曲,2021-07-06,7327814,16476,124,28,168,nan nan nan
9,音综流行热歌 | 薛之谦 平庸 和200首精选音综现场,2020-04-28,22458312,70345,471,145,205,nan nan nan
10,1990s华语R&B | 回到华语R&B金色年代,2023-10-18,776356,5380,13,8,30,nan nan nan
11,出发听老歌 | 经典旋律伴你快乐行程,2025-10-16,66091,373,1,1,80,nan nan nan
12,重返2015 | 从林俊杰开启2015聆听之旅,2023-06-21,492023,6178,13,6,100,nan nan nan
13,R&B新浪潮 | 循环不停的新生代华语R&B,2024-10-10,438059,2801,28,6,80,nan nan nan
14,2023伤感热播 | 和汪苏泷一起细数2023失落瞬间,2025-03-14,361754,2210,10,2,60,nan nan nan
15,清晨散步歌 | 抒情华语伴你开启活力一整天·Hi-Res,2023-08-11,190347,864,3,1,59,nan nan nan
16,"重返1995 | 从张国荣,许美静开始重温1995",2021-09-06,549917,4057,19,14,103,nan nan nan
17,环球经典老歌 | 魅力无限环球音乐精选,2023-06-15,291158,2971,7,2,119,nan nan nan
18,宅家听华语 | 超好听华语陪你度过居家时光,2023-11-01,1546261,4013,14,14,100,nan nan nan
19,重返1997 | 杨乃文领衔带来1997年经典热曲,2021-09-06,448394,2835,20,10,100,nan nan nan
20,国语珍藏 | 给你一张过去的CD,2021-07-06,29277536,170000,2123,320,200,nan nan nan
21,2024国风热歌 | 朱颜不改 回首作《壁上观》,2025-01-06,329733,3697,5,10,59,nan nan nan
22,"重返1992 | 重温金城武,杨钰莹以及更多1992经典热曲",2021-09-06,532495,3577,11,7,114,nan nan nan
23,麦霸练歌房 | KTV必点华语金曲精选,2019-05-09,6103690,51534,602,960,70,nan nan nan
24,励志华语流行 | 踏入华语励志音乐的能量场,2024-02-21,108550,1573,6,2,65,nan nan nan
25,孤独唱片店 | 总有一首歌能包容你的心事,2023-02-16,3759115,9211,61,65,61,nan nan nan
26,伤心频率 | 与你共鸣的精选华语,2023-04-20,3004002,11196,59,31,40,nan nan nan
27,我们没开始 | 来自宝岛的一场思绪骤雨,2024-12-25,1489506,2202,20,12,62,nan nan nan
28,阴天快乐 | 如果情绪有天气 我陷在阴天里,2021-11-04,32397952,110000,1284,369,389,nan nan nan
29,2010s华语R&B | 重回华语R&B新时代,2023-10-18,1498684,10240,95,15,50,nan nan nan
30,华语R&B | 情绪辗转反侧 雾气消散不开,2021-04-09,19869746,69827,692,176,140,nan nan nan
31,听邓紫棋热门精选,2022-09-30,18837474,92197,585,1685,30,nan nan nan
32,云村流行热播 | 陈奕迅 K歌之王AIR版和300首品质好歌,2021-03-30,13903704,43227,267,162,309,nan nan nan
33,百代经典老歌 | 百年光辉历史 经典旋律永存,2023-06-15,297750,2518,8,3,50,nan nan nan
34,2024国风热歌 | 朱颜不改 回首作《壁上观》,2025-01-06,329733,3697,5,10,59,nan nan nan
35,2002伤感热播 | 和陶喆一起聆听2002伤感旋律,2025-08-29,187470,560,6,2,60,nan nan nan
36,全网流行热歌 | 派伟俊 左转灯 和百首网络热门单曲,2021-07-06,7327814,16476,124,28,168,nan nan nan
37,青春流行100首 | MP3里的00年代华语金曲,2021-07-06,3320341,26154,202,77,100,nan nan nan
38,重返2001 | 从孙燕姿开始聆听精彩2001,2021-07-06,1336346,9453,49,21,106,nan nan nan
39,出发听老歌 | 经典旋律伴你快乐行程,2025-10-16,66091,373,1,1,80,nan nan nan
40,听张杰热门精选,2022-09-30,8964846,36004,248,293,30,nan nan nan
41,AI华语热歌 | AI华语流行热播合集,2024-04-02,255297,663,16,18,51,nan nan nan
42,重返1999 | 从莫文蔚阴天开始回顾1999经典,2021-09-06,976250,6020,31,10,106,nan nan nan
43,华语R&B | 情绪辗转反侧 雾气消散不开,2021-04-09,19869750,69827,692,176,140,nan nan nan
44,青春经典 | 难以忘怀的青春旋律,2019-05-23,8738343,53319,1051,1145,80,nan nan nan
45,冬日华语 | 寒风中的动人旋律,2023-11-30,579045,1863,8,9,60,nan nan nan
46,听蔡依林热门精选,2023-02-14,2028192,7840,41,30,30,nan nan nan
47,听林俊杰热门精选,2022-10-18,31307206,120000,1006,1173,30,nan nan nan
48,重返2011 | 从陈奕迅开始回顾2011经典热单,2023-06-21,927195,7271,18,8,99,nan nan nan
49,台北伤心夜 | 细听经典宝岛音乐中的悲伤音符,2024-12-26,2250914,3240,47,23,60,nan nan nan
50,惊艳古风集 | 在古色古香中醉梦一场,2025-04-21,340660,2115,33,8,60,nan nan nan
51,"宝岛华语流行 | 椅子乐团,郭静,许含光领衔带来宝岛新鲜歌曲",2020-12-25,5497135,11232,258,116,144,nan nan nan
52,华语柔情R&B | 欢迎收听华语R&B抒情特辑,2024-11-06,236945,881,19,2,50,nan nan nan
53,国语珍藏 | 给你一张过去的CD,2021-07-06,29277536,170000,2123,320,200,nan nan nan
54,听陶喆热门精选,2023-02-23,8168336,35399,310,182,30,nan nan nan
55,伤心频率 | 与你共鸣的精选华语,2023-04-20,3004002,11196,59,31,40,nan nan nan
56,重返2007 | 从我怀念的开始聆听2007年金曲,2021-07-06,1377677,11079,54,12,114,nan nan nan
57,听张碧晨热门精选,2023-02-23,4749021,14627,65,79,30,nan nan nan
58,青春纪念册 | 重温那些经典的校园歌谣,2021-07-07,352429,2116,9,1,90,nan nan nan
59,1990s华语摇滚 | 迷茫和躁动中的蓬勃发展,2023-10-17,328474,1571,9,13,64,nan nan nan
60,重返2021 | 从郑润泽开始回忆那年热歌,2025-10-11,22889,331,1,1,60,nan nan nan
61,重返2003 | 让朴树带你重回2003,2021-07-06,797855,6343,18,14,100,nan nan nan
62,2010伤感热播 | 和黄丽玲A-Lin一起整理2010愁绪乐章,2025-09-12,549861,1079,9,1,60,nan nan nan
63,国风民谣大赏 | 在老街转角探寻诗与远方,2024-08-16,208814,1013,11,1,60,nan nan nan
64,圣诞华语热播 | 陈奕迅圣诞结和更多华语圣诞好歌,2022-12-19,1484037,3806,78,85,60,nan nan nan
65,摇滚之声 | 热血沸腾的经典国摇,2021-07-07,586755,2619,49,20,90,nan nan nan
66,重返2008 | 萧亚轩带你重回2008,2021-07-06,1395679,12417,448,28,98,nan nan nan
67,重返2011 | 从陈奕迅开始回顾2011经典热单,2023-06-21,927195,7271,18,8,99,nan nan nan
68,2003伤感热播 | 和陈奕迅一起收集2003心碎回忆,2025-08-29,468982,921,12,1,60,nan nan nan
69,2020s伤感热播 | 从李荣浩开始回顾20年代的遗憾心事,2025-10-31,53983,256,2,1,80,nan nan nan
70,摇滚经典碰撞 | 在怀旧中体验新鲜,2021-08-25,401329,1605,29,15,106,nan nan nan
71,AI华语热歌 | AI华语流行热播合集,2024-04-02,255297,663,16,18,51,nan nan nan
72,"重返1995 | 从张国荣,许美静开始重温1995",2021-09-06,549917,4057,19,14,103,nan nan nan
73,宝丽金怀旧老歌 | 经典唱片的代名词,2023-06-15,262935,2647,10,2,50,nan nan nan
74,月亮的歌 | 一起看月亮爬上来,2021-09-14,324885,1403,31,9,40,nan nan nan
75,流行摇滚唱片行 | 聆听华语流行摇滚的自由呐喊,2021-03-30,1127589,6514,37,33,60,nan nan nan
76,惊艳古风集 | 在古色古香中醉梦一场,2025-04-21,340660,2115,33,8,60,nan nan nan
77,听邓紫棋热门精选,2022-09-30,18837478,92197,585,1685,30,nan nan nan
78,浴室歌王 | 花洒就是我的麦克风，每天30首任你点唱,2022-10-25,5296341,24561,178,56,30,nan nan nan
79,2004伤感热播 | 和蔡依林一起倒带2004灰色记忆,2025-09-03,550747,1100,11,3,60,nan nan nan
80,现在就出发 | 快乐旋律伴你奔赴美好,2025-09-30,194599,276,3,4,50,nan nan nan
81,全网流行热歌 | 派伟俊 左转灯 和百首网络热门单曲,2021-07-06,7327814,16476,124,28,168,nan nan nan
82,国风R&B大赏 | 律动灵魂中的东方韵味,2024-09-09,196605,2361,20,5,100,nan nan nan
83,听林俊杰热门精选,2022-10-18,31307216,120000,1006,1173,30,nan nan nan
84,"1980s宝岛热播 | 齐豫,齐秦,张雨生和更多80s宝岛记忆",2025-04-30,73441,636,5,2,217,nan nan nan
85,重返2011 | 从陈奕迅开始回顾2011经典热单,2023-06-21,927195,7271,18,8,99,nan nan nan
86,青春流行100首 | MP3里的00年代华语金曲,2021-07-06,3320341,26154,202,77,100,nan nan nan
87,2024国风热歌 | 朱颜不改 回首作《壁上观》,2025-01-06,329733,3697,5,10,59,nan nan nan
88,还是会想你 | 一个人听的华语慢情歌,2019-08-06,41314544,230000,2108,846,50,nan nan nan
89,2000伤感热播 | 和刘若英一起拼凑2000遗憾往事,2025-08-28,135364,655,7,11,60,nan nan nan
90,听单依纯热门精选,2023-11-17,6136963,32351,167,310,30,nan nan nan
91,听陈奕迅热门精选,2022-09-30,24748278,94562,872,554,30,nan nan nan
92,2000s华语民谣 | 听时光回溯岁月之声,2023-10-08,968493,3142,17,9,49,nan nan nan
93,秋日的歌 | 秋天该很好 你若尚在场,2021-10-26,583118,1431,20,4,34,nan nan nan
94,2000s华语民谣 | 听时光回溯岁月之声,2023-10-08,968493,3142,17,9,49,nan nan nan
95,重返2004 | 跟随蔡依林一起回顾2004经典热单,2021-07-06,915224,9492,36,19,100,nan nan nan
96,浪漫因子 | 可以邀请你和我一起去春天吗,2022-02-25,8515670,37989,397,136,30,nan nan nan
97,"重返2000 | 林忆莲,五月天,刘若英等2000年经典",2021-07-06,1264030,9082,33,18,105,nan nan nan
98,2000s宝岛热播 | 和张惠妹一起重返精彩千禧年代,2025-04-20,232198,1235,9,2,265,nan nan nan
99,台北冷雨 | 过期承诺像雨落的残响在耳边回荡,2025-05-29,185255,392,9,8,61,nan nan nan
100,月亮的歌 | 一起看月亮爬上来,2021-09-14,324885,1403,31,9,40,nan nan nan
101,国语专属 | 你的专属国语歌单,2023-05-09,13800690,56648,574,276,31,nan nan nan
102,重返1998 | 王菲那英与你相约一九九八,2021-09-06,654056,4415,20,8,100,nan nan nan
103,重返1999 | 从莫文蔚阴天开始回顾1999经典,2021-09-06,976250,6020,31,10,106,nan nan nan
104,重返2005 | 跟随王蓉《哎呀》进入2005,2021-07-06,1219234,8765,30,16,110,nan nan nan
105,1990s华语摇滚 | 迷茫和躁动中的蓬勃发展,2023-10-17,328474,1571,9,13,64,nan nan nan
106,宅家听华语 | 超好听华语陪你度过居家时光,2023-11-01,1546261,4013,14,14,100,nan nan nan
107,重返2019 | 从邓紫棋句号开启2019百首热歌,2025-04-01,371217,2308,11,5,102,nan nan nan
108,"华语流行趋势 | 韦礼安,黄子弘凡,郭静领衔呈现近期热播华语",2023-04-04,21546636,30307,308,220,171,nan nan nan
109,环球经典老歌 | 魅力无限环球音乐精选,2023-06-15,291158,2971,7,2,119,nan nan nan
110,华纳经典老歌 | 不可错过的华纳音乐经典,2023-06-15,651268,5038,19,4,80,nan nan nan
111,英皇经典唱片 | 港味浓情 粤式英皇精选,2023-06-15,190948,1719,8,2,40,nan nan nan
112,影视金曲 | 让记忆中的画面随歌声浮现,2021-07-06,1244567,8045,85,16,88,nan nan nan
113,2000s宝岛热播 | 和张惠妹一起重返精彩千禧年代,2025-04-20,232198,1235,9,2,265,nan nan nan
114,听张杰热门精选,2022-09-30,8964846,36004,248,293,30,nan nan nan
115,"1980s宝岛热播 | 齐豫,齐秦,张雨生和更多80s宝岛记忆",2025-04-30,73441,636,5,2,217,nan nan nan
116,80年代经典流行 | 让蔡琴带你再次回味80年代的经典旋律,2024-03-20,378378,3833,13,6,149,nan nan nan
117,七夕国风甜恋 | 今朝相执手 祈愿共白头,2024-10-31,39397,1195,5,2,90,nan nan nan
118,台味Indie | 华语摇滚浪潮的中坚力量,2024-09-19,147938,844,16,5,69,nan nan nan
119,思念成海 | 时光在你身上停留过,2021-03-30,999443,8474,38,39,60,nan nan nan
120,"重返1990 | 草蜢,Beyond等经典尽在1990热曲重温",2021-09-06,763802,7451,33,8,120,nan nan nan
121,麦霸练歌房 | KTV必点华语金曲精选,2019-05-09,6103690,51534,602,960,70,nan nan nan
122,重返2002 | 从萧亚轩爱的主打歌开始重温2002,2021-07-06,839234,5602,16,17,97,nan nan nan
123,重返2018 | 从大眠开始回顾精彩2018,2025-04-01,354688,2115,14,5,100,nan nan nan
124,1990s华语摇滚 | 迷茫和躁动中的蓬勃发展,2023-10-17,328474,1571,9,13,64,nan nan nan
125,重返2011 | 从陈奕迅开始回顾2011经典热单,2023-06-21,927195,7271,18,8,99,nan nan nan
126,听王力宏热门精选,2023-02-21,10177317,31180,300,186,30,nan nan nan
127,重返2012 | 胡夏带你一起重回2012,2023-06-21,514101,3956,8,7,96,nan nan nan
128,国风民谣大赏 | 在老街转角探寻诗与远方,2024-08-16,208814,1013,11,1,60,nan nan nan
129,重返1997 | 杨乃文领衔带来1997年经典热曲,2021-09-06,448394,2835,20,10,100,nan nan nan
130,每个人都会 | 拥有最甜最美爱的滋味,2025-05-23,133959,447,12,15,58,nan nan nan
131,百代经典老歌 | 百年光辉历史 经典旋律永存,2023-06-15,297750,2518,8,3,50,nan nan nan
132,孤独唱片店 | 总有一首歌能包容你的心事,2023-02-16,3759115,9211,61,65,61,nan nan nan
133,2010s华语R&B | 重回华语R&B新时代,2023-10-18,1498684,10240,95,15,50,nan nan nan
134,重返2005 | 跟随王蓉《哎呀》进入2005,2021-07-06,1219234,8765,30,16,110,nan nan nan
135,华语爵士 | 在晚风中品味浪漫柔情,2023-10-25,284098,1581,18,4,60,nan nan nan
136,2024国风热歌 | 朱颜不改 回首作《壁上观》,2025-01-06,329733,3697,5,10,59,nan nan nan
137,清晨散步歌 | 抒情华语伴你开启活力一整天·Hi-Res,2023-08-11,190347,864,3,1,59,nan nan nan
138,福茂经典老歌 | 那些熟悉的青春宝藏歌曲,2023-06-15,226740,2274,4,2,67,nan nan nan
139,重返2019 | 从邓紫棋句号开启2019百首热歌,2025-04-01,371217,2308,11,5,102,nan nan nan
140,冬日华语 | 寒风中的动人旋律,2023-11-30,579045,1863,8,9,60,nan nan nan
141,七夕国风甜恋 | 今朝相执手 祈愿共白头,2024-10-31,39397,1195,5,2,90,nan nan nan
142,2010s华语摇滚 | 新时代的中国摇滚浪潮,2023-04-11,1693813,8427,87,59,94,nan nan nan
143,宅家听老歌 | 窝在沙发里听首经典老歌,2025-10-17,247631,706,4,2,80,nan nan nan
144,华语R&B金曲 | 华语R&B浪漫进化论,2025-06-12,386321,2150,19,2,70,nan nan nan
145,听莫文蔚热门精选,2022-09-30,4701703,16425,120,30,30,nan nan nan
146,华语跑步BGM | 尽情燃烧卡路里,2023-11-16,827814,5637,20,5,50,nan nan nan
147,国语流行 | 200首经典旋律 你一定听过,2021-07-07,19348364,78893,786,43,211,nan nan nan
148,夏日华语 | 美好夏日 奔向海边,2023-05-19,2092435,7353,49,10,84,nan nan nan
149,2000伤感热播 | 和刘若英一起拼凑2000遗憾往事,2025-08-28,135364,655,7,11,60,nan nan nan
150,2023伤感热播 | 和汪苏泷一起细数2023失落瞬间,2025-03-14,361754,2210,10,2,60,nan nan nan
151,华语原创 新歌速递,2024-09-24,88581,253,50,1,30,nan nan nan
152,假期宅家听 | 充电进行中,2024-02-04,223123,731,7,12,50,nan nan nan
153,相思情愁 | 失眠夜 总是和快乐走散,2022-04-29,415114,3230,124,28,60,nan nan nan
154,清新气泡水 | 听了让你耳目一新的精选华语歌曲,2021-03-30,1143869,2827,18,12,71,nan nan nan
155,2000s华语R&B | 重回华语R&B豆蔻年华,2023-10-12,1169022,11277,78,10,45,nan nan nan
156,华语咖啡馆 | 欢迎光临 邀你品味慢时光的浪漫美学,2023-08-11,550889,1480,24,16,60,nan nan nan
157,华语原创 精选推荐,2024-09-24,310341,628,49,14,30,nan nan nan
158,原创动画《伍六七》原声合集,2023-04-24,295527,5434,116,150,65,nan nan nan
159,月亮的歌 | 一起看月亮爬上来,2021-09-14,324885,1403,31,9,40,nan nan nan
160,"中国说唱巅峰对决2023 | ""中说超""巅峰开赛",2023-05-06,3528697,22799,193,252,142,nan nan nan
161,华语速爆新歌 | Rosy赵露思：新歌破茧来袭，淬炼歌词道尽裂痕生辉,2017-09-19,1091413248,3470000,29378,60562,20,nan nan nan
162,福茂经典老歌 | 那些熟悉的青春宝藏歌曲,2023-06-15,226740,2274,4,2,67,nan nan nan
163,2010s华语民谣 | 情浓曲却淡 简洁却不简单,2021-03-30,17504088,87527,712,220,70,nan nan nan
164,摩登天空 | 你的单曲循环有多少来自摩登,2023-01-01,708643,5699,97,45,53,nan nan nan
165,"王菲经典 | 自在天后,唱游人间",2022-11-17,925246,6680,69,120,50,nan nan nan
166,天赐的声音 | 大口呼吸，世界热烈,2023-04-24,1187451,13790,90,73,99,nan nan nan
167,吴青峰版权回归 | 世界美好 都不如你好,2023-04-11,97648,1032,6,7,51,nan nan nan
168,2022中国好声音 | 用音乐见证蜕变,2022-08-04,513604,3498,21,20,99,nan nan nan
169,谢春花 | 自由现代的浪漫女声,2021-11-13,401863,1838,28,21,45,nan nan nan
170,华语流行 | 时光回溯中的流行原创音乐,2023-01-13,715191,2407,58,145,59,nan nan nan
171,"相思赋予谁,小辫儿张云雷",2022-12-05,198389,2882,234,3882,12,nan nan nan
172,华语青春站 | 梦回千禧复古专场,2022-12-26,610699,2284,28,66,45,nan nan nan
173,相信音乐 | 唤起心中尚未崩坏的地方,2022-12-26,3582041,32195,955,1503,83,nan nan nan
174,相信音乐 | 丁当热门歌曲精选,2022-12-26,579460,2450,56,134,60,nan nan nan
175,相信音乐 | 刘若英热门歌曲精选,2022-12-26,666605,4251,643,112,60,nan nan nan
176,滚石唱片 | 华语经典永不落幕,2023-03-22,874409,4648,51,183,63,nan nan nan
177,"GAI周延 | 梦想不要怕太大,开口就是王炸",2022-11-09,727279,3853,79,164,45,nan nan nan
178,颜社 | 蛋堡歌曲精选,2022-10-31,360014,5328,424,336,79,nan nan nan
179,颜社 | 国蛋歌曲精选,2022-10-31,115960,1169,40,45,33,nan nan nan
180,相信音乐 | 青春就是一场五月天！,2022-12-22,3704204,60183,5454,1940,60,nan nan nan
181,相信音乐 | 李宗盛热门歌曲精选,2022-12-26,1483210,14347,260,243,59,nan nan nan
182,"颜社 | 宝岛""嘻哈囝"",欢迎加入群聊",2022-10-26,474901,5112,446,312,99,nan nan nan
183,华语经典旋律 | 重温心中最温柔的风景,2023-01-09,279017,940,27,11,27,nan nan nan
184,滚石唱片 | 那些影响过你的滚石经典,2021-12-01,2281480,16843,391,218,100,nan nan nan
185,水木年华 | 用真诚传递快乐,2022-09-30,187125,967,8,2,35,nan nan nan
186,回忆温柔 | 一首歌送给过去的自己,2022-11-28,588960,1711,30,71,45,nan nan nan
187,郝云 | 理想主义永远闪着光,2022-09-30,66421,362,4,4,23,nan nan nan
188,小娟&山谷里的居民 | 用音乐演绎生活,2022-09-30,83461,629,7,3,51,nan nan nan
189,滚石唱片 | 任贤齐热门歌曲精选,2022-08-19,537338,3332,20,9,45,nan nan nan
190,"韩红 | 引吭高歌,首首荡气回肠",2022-08-01,296812,2495,25,69,56,nan nan nan
191,戴佩妮精选 | 一朵叛逆的野蔷薇,2022-07-29,133394,635,5,3,41,nan nan nan
192,"怀旧珍藏 | 愿时光能缓,故人不散",2022-09-29,329807,2489,31,37,50,nan nan nan
193,"曹方 | 流年从身边淌过,我们四季听你唱歌",2022-09-14,258659,2013,71,88,58,nan nan nan
194,滚石唱片 | 细述刘若英的文艺人生,2022-07-12,625979,2098,56,12,60,nan nan nan
195,滚石唱片 | 杜德伟热门歌曲精选,2022-08-19,116834,469,15,5,41,nan nan nan
196,春天花会开 | 以知相逢以音共奏,2022-04-21,103436,1104,16,70,49,nan nan nan
197,摩登天空 | 热爱的乐队永远发光！,2021-07-09,4016785,41084,3614,1656,100,nan nan nan
198,谁是宝藏歌手 | 综艺音频全收录,2021-04-27,1473160,13568,125,87,93,nan nan nan
199,国风 | 熟悉的国风味道 哪一首有你的故事,2023-01-10,206567,1806,44,24,43,nan nan nan
200,龙韬娱乐 | 黄子韬热门歌曲精选,2022-08-17,68425,801,25,52,40,nan nan nan
201,"天娱精选 | 灯光和花火一起闪亮,也亮不过我的梦想",2023-02-15,38857,363,11,22,52,nan nan nan
202,声临其境 | 用声音飙戏,2021-11-04,56744,970,2,8,100,nan nan nan
203,滚石唱片 | 音乐中的人情冷暖和人生感悟,2022-07-11,590405,2114,22,6,34,nan nan nan
204,街头音浪 | 由街头音乐寻踪生活原味,2020-11-04,367292,1953,73,13,68,nan nan nan
205,"滚石唱片 | 关于""天王杀手""周华健的记忆",2022-07-08,248899,1608,15,2,59,nan nan nan
206,嗨唱转起来 | 综艺音频全收录,2021-11-05,27769,276,4,4,100,nan nan nan
207,"滚石唱片 | 年少不听李宗盛,听懂已是不惑年",2022-07-08,3028260,16929,141,28,100,nan nan nan
208,声生不息宝岛季 | 你最想听谁带来宝藏金曲?,2023-03-14,504813,3027,36,77,45,nan nan nan
209,滚石唱片 | 蓬勃的摇滚时代,2022-07-11,293666,1845,25,5,63,nan nan nan
210,滚石唱片 | 青涩岁月里的五月天,2022-07-08,1580157,2985,42,9,49,nan nan nan
211,福茂唱片回归云村 | 韦礼安热门精选,2022-04-08,109076,778,29,82,49,nan nan nan
212,"天赐的声音4 | 天作之合 ""鲜""声夺人",2023-04-28,679042,9814,58,64,90,nan nan nan
213,滚石唱片 | 华语乐坛启蒙的80年代,2022-07-11,264199,1993,11,3,70,nan nan nan
214,滚石唱片 | 老男孩张震岳的秘密基地,2022-07-08,788002,3343,54,45,60,nan nan nan
215,滚石唱片 | 那些年我们深夜听过的莫文蔚,2022-07-08,708736,2979,23,18,45,nan nan nan
216,风华秋实 | 华语乐坛的共振时刻,2021-11-29,1569207,3803,179,536,100,nan nan nan
217,"许巍 | 只有音乐和爱,才能带来感动",2022-07-01,1075719,9205,180,327,100,nan nan nan
218,黑豹乐队 | 致永不妥协的摇滚精神,2021-11-29,396394,1687,46,127,30,nan nan nan
219,福茂唱片 | 经典偶像剧OST,2022-04-06,306829,2215,53,55,79,nan nan nan
220,乐华娱乐 | NEXT热门歌曲精选,2021-12-30,59151,592,6,41,70,nan nan nan
221,草莓星球来的人 | 综艺音频全收录,2021-11-04,41524,392,6,6,96,nan nan nan
222,时光音乐会 | 以音乐为桥,2021-11-04,301772,3288,33,69,96,nan nan nan
223,中国唱片 | 中华民族唱片的宝藏曲库,2021-11-09,371623,5468,186,219,89,nan nan nan
224,时代峰峻 | 时代少年团热门歌曲精选,2022-06-17,600749,13658,217,1060,39,nan nan nan
225,中国新说唱 | 音频全收录,2021-11-05,253443,2858,23,15,100,nan nan nan
226,为歌而赞 | 乐无正解 百赞成歌,2022-04-08,124482,947,6,5,100,nan nan nan
227,中国说唱巅峰对决 | 强强对决 巅峰集结,2022-06-25,3030062,18266,350,102,100,nan nan nan
228,我的音乐你听吗 | 有谱村的音乐故事,2021-09-03,3341422,39953,485,336,99,nan nan nan
229,"时代峰峻 | 夏天到了,少年们回来了！",2022-06-07,1419845,31056,9741,2172,100,nan nan nan
230,时光音乐会 | 两季音频全收录,2023-02-28,1575462,15980,115,45,100,nan nan nan
231,我们民谣2022 | 用音乐治愈心灵,2022-12-23,1162394,13071,242,62,100,nan nan nan
232,"声生不息·宝岛季 | 有歌之年,歌自宝岛来",2023-03-16,1872751,19561,935,186,101,nan nan nan
233,重温春晚金曲 | 寻找年夜饭桌上的音乐记忆,2023-01-18,413988,2371,46,74,45,nan nan nan
234,汪苏泷原创精选 | 走进实力唱作人音乐世界,2023-01-10,1042951,5089,57,920,57,nan nan nan
235,"双笙 | 笙声不息,爱慕未停",2023-04-24,122831,695,25,142,20,nan nan nan
236,蒙面歌王 | 用歌声俘获你的心,2022-08-03,1783955,8945,164,36,100,nan nan nan
237,2020年代至今华语原创专辑50佳 | 未来的经典,2024-12-03,160518,4044,112,238,50,nan nan nan
238,成都说唱精选,2025-07-04,20982,345,24,9,136,nan nan nan
239,超高播放 | 超99%的人都在循环,2023-05-06,4955679,13071,169,312,31,nan nan nan
240,2025中文说唱半年榜 | 荣誉揭晓,2025-07-16,362806,4862,445,73,76,nan nan nan
241,"经典摇滚 | 万能青年旅店,新裤子,张醒婵",2024-05-16,31860,122,11,3,3,nan nan nan
242,李润祺 | Z世代全能音乐唱作人,2023-01-13,67291,700,95,682,19,nan nan nan
243,万人收藏 | 好歌挖掘机已上线,2023-05-06,2780438,7636,139,131,31,nan nan nan
244,鱼丁糸 | 全宇宙的朋友大家好，我们回来了,2023-04-11,120005,3765,119,199,81,nan nan nan
245,[拒绝瞌睡] 跟着节拍抖腿的嘻哈音乐,2019-03-04,12739314,71404,700,164,33,nan nan nan
246,拒绝EMO，听欢快的歌恢复元气吧！,2025-10-26,2325,8,2,1,92,华语 快乐 放松
247,罗大佑宝藏曲库 | 我们会永远需要罗大佑,2022-08-23,429650,4718,49,53,37,nan nan nan
248,冷门推荐 | 随机好歌收入囊中,2023-05-06,6134039,16269,280,516,31,nan nan nan
249,河南说唱精选,2024-10-10,28067,316,10,17,73,nan nan nan
250,梦想的声音 | 用歌声助力平凡梦想,2022-07-13,571849,5503,198,372,100,nan nan nan
251,网易云音乐2025第三季度音乐榜单,2025-10-20,159182,993,58,349,50,华语 流行 说唱
252,秋色向晚│霜降多添衣 愿一切顺心如意,2025-10-15,103297,179,10,9,35,华语 流行 治愈
253,拾起一片落叶，就把秋捧在了手心,2025-10-15,19612,61,2,1,21,华语 流行 思念
254,快乐100％｜活力满分 好运磁场活人感Max,2025-09-23,78836,230,9,4,45,华语 流行 快乐
255,「滚石撞乐队2」滚石金曲翻唱企划,2025-10-10,14484,325,63,8,26,华语 经典 翻唱
256,华语治愈｜慢慢来 随风所遇此生皆所愿,2025-10-29,9331,156,8,3,35,华语 流行 治愈
257,精选华语R&B｜刻在DNA里的熟悉旋律,2025-10-12,3224,169,2,4,66,R&B/Soul 华语 放松
258,净化耳朵 | 让喧嚣与沉闷被关在音乐之外,2025-10-24,866374,1715,17,5,29,华语 流行 nan
259,立冬快乐！被温柔的歌包裹 和世界软软贴贴,2025-11-04,251910,373,27,9,30,华语 流行 nan
260,心碎与温柔｜华语情歌的时光走廊,2025-09-26,8608,143,15,1,26,流行 华语 治愈
261,情绪收音机 | 总有一段旋律与你同频,2025-10-31,248017,820,29,6,31,华语 流行 nan
262,世界上有个特别幸福的人 他正在读我这句话,2025-10-19,12481,247,14,14,41,华语 流行 伤感
263,灵魂栖息地│人生天地间 忽如远行客,2025-10-21,4925,106,3,4,21,华语 放松 治愈
264,张震岳「跟着感觉走」巡回演唱会预热歌单,2025-10-24,43733,175,6,1,35,华语 摇滚 流行
265,湾区升明月2025大湾区电影音乐晚会 歌曲辑,2025-09-28,14980,84,2,1,68,流行 华语 怀旧
266,送别音乐人屠颖：华语乐坛一盏明灯熄灭,2025-11-01,166444,835,235,91,50,华语 流行 nan
