,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
154,咖啡厅 | 面包店 | 氛围感BGM,2020-03-08,3351392,41309,706,131,381,放松 治愈 浪漫
155,lofi-低保真 慵懒随性 浪漫 松弛 氛围,2025-07-07,13283,377,16,6,68,电子 轻音乐 浪漫
156,王源【我只想有一天你能为我骄傲】,2019-01-05,13442,196,3,3,109,华语 流行 浪漫
157,我会找到逆转时间的公式,2021-07-29,200452,761,21,13,186,流行 浪漫 伤感
158,男人永远玩不够 女人永远伤不透,2024-01-02,58009,182,2,2,182,伤感 浪漫 思念
159,O’zbek丨用心酸情歌治愈破碎的,2022-01-31,509202,1096,39,2,51,夜晚 伤感 浪漫
160,小甜歌一暖昧氛围加满！要冒粉红色爱心啦！,2025-08-13,65228,736,3,1,30,流行 夜晚 浪漫
161,丨Le丨爱自有天意,2024-04-18,263519,5691,219,259,87,浪漫 思念 夜晚
162,烹饪时必备的仙品R&B,2025-06-05,490617,7817,79,24,92,蓝调 R&B/Soul 浪漫
163,R&B: 那些让人心弦一颤的绝世佳作,2018-10-14,375482,2502,45,14,173,R&B/Soul 浪漫 放松
164,能够让自己感受到生活的歌曲，回头率100%！,2016-01-12,483271,1657,25,9,35,流行 浪漫 工作
165,我的CP官宣时，请用这些歌当BGM！,2025-09-09,81428,226,3,10,29,华语 流行 浪漫
166,发疯专用单｜摇滚不死 永远年轻,2018-02-23,189112,2244,93,21,191,摇滚 旅行 浪漫
167,/.我从未想到那天….,2024-08-17,401216,3506,63,13,285,浪漫 性感 伤感
168,世界本就浑浊 罪与爱同歌,2018-08-19,64733,1187,17,5,2013,浪漫 放松 孤独
169,『Jazz House』爵士和House爱好者双重快乐,2022-02-26,46076,966,30,10,127,电子 酒吧 浪漫
170,黄昏时分：海风夹杂着落日的味道,2022-05-21,626496,5137,112,14,42,欧美 浪漫 流行
171,日落加州｜顶级浪漫｜在橘子海感受温暖,2024-09-14,257593,2009,46,4,106,R&B/Soul 夜晚 浪漫
172,「超甜」少女的心思胜过一切山与水,2017-09-25,3496880,36169,506,175,184,浪漫 nan nan
173,pure：生如夏虫，一舞永瞬『美学』,2022-02-04,60734,1748,49,21,690,轻音乐 浪漫 器乐
174,[甜甜的韩语歌]是心动吧,2020-10-17,1173731,10367,111,20,123,韩语 浪漫 清新
175,好想纯粹永远^ ^,2025-03-21,92230,609,13,22,282,夜晚 浪漫 安静
176,英文对唱｜邂逅音乐中的璀璨花火,2019-05-12,858980,11969,251,126,200,欧美 流行 浪漫
177,含糖99％/情歌rap/微醺/甜歌说唱,2024-09-16,101844,566,4,4,112,说唱 浪漫 夜晚
178,华语情歌 | 我怀念的是无话不说,2024-12-19,72587,128,1,1,50,华语 流行 浪漫
179,耳机情话|双脚踩着沙，陷入了有你的仲夏,2023-06-08,333366,667,13,15,77,华语 浪漫 治愈
180,心动R&B | 轻快鼓点 浪漫心动贩卖机！,2024-04-08,299853,2709,150,9,97,欧美 R&B/Soul 浪漫
181,爱情歌必备歌单舒心的 音乐治愈受伤的心,2017-01-17,1626179,1520,122,14,46,流行 清晨 浪漫
182,法语｜倾听法式浪漫里的柔美女声,2022-07-31,1150886,21147,338,47,34,浪漫 放松 世界音乐
183,『INFP幻想乡』“人生是旷野不是轨道”,2024-05-13,163962,3279,70,50,148,欧美 电子 浪漫
184,卧室氛围感|微醺音乐 暧昧 慵懒,2023-02-10,1491304,18943,386,62,53,欧美 R&B/Soul 浪漫
185,『雷朋/栩你渝生』同人曲/适配曲,2025-10-04,1611,47,6,2,31,华语 流行 浪漫
186,落日飞车 | 今天晚霞很温柔风也醉人,2023-06-08,130511,316,8,3,78,欧美 浪漫 治愈
187,汪苏泷「十万伏特2.0」演唱会杭州站,2023-05-24,277610,1912,69,7,62,华语 流行 浪漫
188,古堡·晚宴·长裙·圆舞曲-----资本主义,2016-08-24,1784344,54921,912,363,35,古典 浪漫 器乐
189,玫瑰和晚霞，有你才浪漫,2022-04-16,27017,257,4,3,215,流行 浪漫 治愈
190,浓情爵士 | 微醺氛围需要伴奏,2023-10-18,158489,1583,44,14,39,爵士 浪漫 nan
191,世界顶级名模T台走秀背景音乐【下】,2017-07-29,4135188,40262,964,67,74,流行 性感 浪漫
192,高级|慵懒欧美小调,2020-03-26,356074,5760,101,30,195,欧美 浪漫 治愈
193,『R&B』｜氛围感/ 慵懒/ 微醺,2021-09-21,5134527,73228,1265,191,192,欧美 R&B/Soul 浪漫
194,精选泰语小甜歌|少女心爆棚♡ ,2022-08-07,588704,6521,72,6,189,浪漫 流行 清新
195,浪漫氛围感｜日落海边散步｜卧室音乐,2020-10-15,35959,268,10,4,140,下午茶 浪漫 酒吧
196,轻快高质独处｜自由是灵魂的氧气,2023-08-30,47161,448,12,5,104,浪漫 R&B/Soul 欧美
197,中国有浆果 美国有Here with me 韩国有Ever,2025-02-11,25652,454,13,6,49,欧美 R&B/Soul 浪漫
198,爱尔兰民谣｜曲折婉转 宁静舒缓,2021-02-27,12016,189,3,4,104,世界音乐 民谣 浪漫
199,DreamRock | ‘ 梦幻的边境 疾驰的海风 ’,2018-10-02,882481,17815,375,68,40,摇滚 另类/独立 浪漫
200,适合用来表白的歌／甜甜的情歌／恋爱ing,2021-07-12,2139099,20872,357,136,185,浪漫 治愈 感动
201,微甜时刻：世事如书，我独偏爱你,2022-10-20,84574,130,3,5,52,浪漫 nan nan
202,『欧美』微醺气氛/迷幻/旖旎/性与愛共纏綿,2025-05-16,74977,904,25,2,202,欧美 夜晚 浪漫
203,韩系R&B ｜小众丝滑·慵懒氛围,2023-04-10,559799,7037,98,14,77,韩语 R&B/Soul 浪漫
204,温柔 | 适合睡眠or自习听的歌,2019-04-11,17588,251,1,1,215,浪漫 放松 安静
205,流行歌曲|始于初见，止于终老,2022-07-15,152359,242,4,11,178,华语 流行 浪漫
206,饶过舌却绕不过你,2018-01-24,10463889,100000,3169,365,236,浪漫 R&B/Soul 说唱
207,“害羞就关灯 我熟悉你的位置”,2024-07-09,7760,334,17,4,45,夜晚 浪漫 快乐
208,人生缓缓自有答案,2024-10-13,189464,1046,28,4,76,散步 安静 浪漫
209,小提琴丨美到窒息的小提琴曲合集,2024-01-21,249487,2545,52,9,110,器乐 古典 浪漫
210,『特异独行』 身处孤独却又无比浪漫,2017-12-08,21069160,340000,7119,1671,126,下午茶 浪漫 nan
211,暧昧气氛拉满 | 醉死在浪漫的氛围里,2023-06-08,303000,845,24,18,74,华语 浪漫 治愈
212,超甜超浪漫的歌 和crush一起听！,2022-12-19,2409745,14689,302,48,338,浪漫 流行 治愈
213,微醺 | 纯度100%蓝调 &Jazz soul | Bar专区,2022-05-18,9692,164,8,1,212,爵士 蓝调 浪漫
214,超甜rap｜脸红警告 想恋爱拉,2023-08-09,38296,183,7,1,54,华语 说唱 浪漫
215,你爱的歌 我反复听.,2023-07-06,101806,315,8,2,290,流行 浪漫 网络歌曲
216,欧美|微醺浪漫，你似晚霞渐晚渐浓,2022-07-15,151436,450,13,1,173,欧美 浪漫 nan
217,如果你懂我的甜蜜,2025-05-31,93100,511,8,6,25,浪漫 清新 散步
218,江上青山 | R&B Jazz 国风Rap,2025-11-05,2791,116,9,3,34,R&B/Soul 说唱 浪漫
219,Vintage | 复古漩涡 让灵魂保持分解,2021-02-09,676194,11215,265,61,121,欧美 浪漫 放松
220,华语R&B | 温柔节拍 共赴心动时刻,2025-04-25,279626,1196,23,3,48,华语 R&B/Soul 浪漫
221,浪漫一夜都市霓虹｜英文citypop精选,2020-12-06,37138,640,9,3,128,浪漫 欧美 流行
222,TT｜马思唯｜沙一汀｜法老｜王嘉尔｜Jony J,2020-04-24,2036932,20672,573,109,681,说唱 浪漫 流行
223,[另类迷幻]·夏夜晚风与绮丽旖梦,2020-08-18,233489,3892,101,23,100,另类/独立 浪漫 夜晚
